2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:24:59,587 - INFO - Env 43, Goal (013.9, -04.5), Episode 00001, setp 150, Reward -29.8, Crashed,
2020-09-29 22:24:59,591 - INFO - Env 41, Goal (009.5, -16.6), Episode 00001, setp 002, Reward -34.4, Crashed,
2020-09-29 22:24:59,594 - INFO - Env 39, Goal (012.4, -04.8), Episode 00001, setp 002, Reward -43.6, Crashed,
2020-09-29 22:24:59,600 - INFO - Env 23, Goal (005.5, -05.5), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:25:03,077 - INFO - Env 10, Goal (010.0, 010.0), Episode 00004, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:03,091 - INFO - Env 11, Goal (012.0, 010.0), Episode 00004, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:03,096 - INFO - Env 12, Goal (014.0, 010.0), Episode 00004, setp 030, Reward -24.2, Crashed,
2020-09-29 22:25:03,096 - INFO - Env 13, Goal (016.0, 010.0), Episode 00004, setp 029, Reward -23.9, Crashed,
2020-09-29 22:25:03,117 - INFO - Env 14, Goal (018.0, 010.0), Episode 00004, setp 026, Reward -25.8, Crashed,
2020-09-29 22:25:08,430 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00007, setp 028, Reward -24.2, Crashed,
2020-09-29 22:25:08,430 - INFO - Env 16, Goal (005.5, -02.5), Episode 00007, setp 034, Reward -23.1, Crashed,
2020-09-29 22:25:08,435 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00007, setp 001, Reward -31.4, Crashed,
2020-09-29 22:25:08,533 - INFO - Env 15, Goal (003.5, -02.5), Episode 00007, setp 049, Reward -21.9, Crashed,
2020-09-29 22:25:08,884 - INFO - Env 08, Goal (003.0, 003.0), Episode 00005, setp 065, Reward -38.5, Crashed,
2020-09-29 22:25:08,887 - INFO - Env 09, Goal (005.0, 003.0), Episode 00005, setp 024, Reward -42.7, Crashed,
2020-09-29 22:25:08,889 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:25:08,892 - INFO - Env 07, Goal (000.0, 003.0), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:25:12,813 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00002, setp 089, Reward -30.2, Crashed,
2020-09-29 22:25:12,815 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00002, setp 001, Reward -42.5, Crashed,
2020-09-29 22:25:12,816 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00002, setp 048, Reward -36.5, Crashed,
2020-09-29 22:25:12,816 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00002, setp 031, Reward -42.9, Crashed,
